,name,graduate_year
0,Tengfei CHANG,2018
1,Huangxun CHEN,2020
2,Lei CHEN,2005
3,Yingcong CHEN,2020
4,Xiang CHENG,2009
5,Xiaowen CHU,2003
6,Ying CUI,2012
7,Mingming FAN,2019
8,Zijun GONG,2021
9,Varvara GULJAJEVA,2018
10,Jian GUO,2011
11,Guobiao HU,2020
12,Haijie HU,2007
13,Rui HU,2017
14,Xinyi HUANG,2009
15,Pan HUI,2008
16,Sung Hun KIM,2006
17,DIRK KUTSCHER,2003
18,Zhilu LAI,2018
19,Vincent Kin Nang LAU,1998
20,Feifei LI,2007
21,Hang LI,1998
22,Jia LI,2021
23,Lei LI,2018
24,Shipeng LI,1996
25,Junwei LIANG,2021
26,Yuxuan LIANG,2023
27,Hao LIU,2017
28,Jiangchuan LIU,2003
29,Li LIU,2019
30,Tie-Yan LIU,2003
31,Irene Man Chi Lo,1992
32,Qiong LUO,2002
33,Yuyu LUO,2023
34,Lionel Ming-Shuan NI,1980
35,Theodoros PAPATHEODOROU,2007
36,Huamin QU,2004
37,Dou SHEN,2007
38,Ying SUN,2022
39,Liang TAN,2019
40,Jing TANG,2018
41,Keyang TANG,2007
42,Nan TANG,2008
43,Da Cheng TAO,2006
44,Danny Hin Kwok TSANG,1989
45,Fu-Gee TSUNG,1997
46,Gareth John TYSON,2010
47,Addison Lin WANG,2021
48,Wei WANG,2004
49,Wenjia WANG,2018
50,Xiaoyu WANG,2012
51,Felix Xin WANG,2018
52,Zeyu WANG,2022
53,Zeyi WEN,2015
54,Kaishun WU,2011
55,Sean Sihong XIE,2016
56,Xing XIE,
57,Hong XING,2016
58,Hui XIONG,2005
59,Liuqing YANG,2004
60,Qiang YANG,1989
61,Yang YANG,2002
62,Jie Ping YE,2005
63,David Kei Man YIP,2015
64,Jing YUAN,2012
65,Wei ZENG,2015
66,Chen ZHANG,
67,Dian ZHANG,2010
68,Jake Junjie ZHANG,2015
69,Kang ZHANG,1990
70,Meihui ZHANG,2013
71,Qian ZHANG,1999
72,Bo Wen ZHOU,2003
73,Xiao Fang ZHOU,1994
